,location,noise_events_count,hour,humidity,temp,solar_radiation,rain_intensity,daily_rain_sum,wind_dir,wind_speed,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3,lat,lon,alt,climate_zone,green_cover,building_height,sky_view_factor,installation_height,month,day_of_month,event_Human voice - Shouting,event_Human voice - Singing,event_Transport road - Passenger car,event_Transport road - Siren,event_Unsupported,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,formatted_date
0,MP 01: Naamsestraat 35  Maxim,-0.371046015584102,0.07010577426099185,-0.34430344130436175,0.38047126495661704,0.003694278420626462,0.015302080576962645,-0.05402129397184231,-0.2914698977623885,-0.5359752879763786,-0.0012953504652999934,0.012937680919660438,-0.02360422974649144,0.08842132566107291,-0.053213599338019175,0.7660211892877775,0.8111047356758926,0.01736502914545998,0.0,0.0,-0.02586779237629575,0.24082901158267936,0.0,0.0735779979747588,1.1067910457488848,-0.000521031135912166,-0.00010664084256235639,0.002265289622825985,0.00010140928558046581,2.9376446675202615e-05,0.04199652856799391,-0.11902259655470253,-0.019108408275136837,0.004108589341307132,0.0452903296175516,-0.023495946209987403,0.12507275773911103,03/01/22 00:00
1,MP 01: Naamsestraat 35  Maxim,-0.3618197638879972,-0.3819305993918384,-0.017054056399026473,0.40422906204036607,0.0022077011466871536,0.02761615285232579,-0.059467263125542645,0.5134255650962599,-0.3341574096635797,-0.010939341107123331,0.14029039112588307,0.10971767661985364,0.25712065950791946,0.06157114754134001,1.4665910685164352,1.5077019766428483,0.025812258298005798,0.0,0.0,0.02804657637937881,0.44468625419682084,0.0,0.2971040047723349,2.3581896259228694,-0.0005185577449575123,-0.00011013446295178875,0.0024572702113057118,0.0001139092438635112,-1.0526926646774072e-05,0.11098253153099728,-0.23246363471911768,-0.007726433486379072,0.00039066813789633833,0.07676468089166921,-0.028337020622582355,0.05454972415192442,03/01/22 01:00
2,MP 01: Naamsestraat 35  Maxim,-0.3905741654603988,-2.8981907273817957,-0.22837816897037688,0.10671725880275222,0.002281479698368674,0.004828718996576262,-0.057230827909882584,0.37683815160151624,-0.6723323223947604,-0.011486800758732917,-0.11227577757978358,0.01844483523405378,0.017326087667267183,-0.2080469762836106,1.3857616523191518,1.5706814997160545,-0.10481295748885827,0.0,0.0,-0.014930509556753638,0.9102259872650026,0.0,0.13639403021937277,2.8826170047158093,-0.0005211244402814845,-8.272464582689034e-05,0.0025034856524514203,0.00011349480751414216,-1.5344515619039135e-05,0.09303120799819035,-0.21553539202950692,0.012808724115117822,0.029877256043199376,-0.049966839239865786,-0.04200414779409255,0.0009680948866837366,03/01/22 02:00
3,MP 01: Naamsestraat 35  Maxim,-0.4054412703904957,-3.6424376674112984,-0.26199551839809854,0.03637529931388244,0.002974970070161706,0.001419161394011647,-0.05971254996872315,0.8031603779346053,-0.5821072655606253,-0.010433791260559244,-0.07856215691797232,-0.030498742751402793,0.02997144401614375,-0.16178637679018743,1.594613983644452,1.6178624145881457,0.010341874397944489,0.0,0.0,-0.00924622867016791,0.969045023190566,0.0,0.19353265690556792,3.863652644330915,-0.000430625950088037,-8.084555741610499e-05,0.002558097919757786,0.00011440213000532812,5.690566031421222e-05,0.13816482794922688,-0.24199064226969824,-0.0006095607499701426,0.02722348208520992,-0.06175686222771099,-0.048099441044191185,0.01215614367698527,03/01/22 03:00
4,MP 01: Naamsestraat 35  Maxim,-0.2716088868491123,1.887412453628313,0.11489900993895717,0.07276294188697464,0.01667336041506207,0.0075783915848241954,0.6531471150119579,0.3201647191545588,-0.06388515420036268,-0.01507732060808357,0.04620419306684518,0.11574713591373009,0.13136820500148072,0.14540921715721172,0.23099597120433754,0.2198560139876176,-0.1562328608469735,0.0,0.0,-0.141368244983607,0.07942756625442532,0.0,0.07849379829594554,1.5773639709823444,-0.0007553533031853844,-5.215200749923594e-05,0.0018200822273373534,3.678370067488689e-05,0.0002411914098122283,0.009802999906652883,-0.06896445919615578,0.0026853401048305765,-0.012362295075815287,0.0024794614248383833,0.02794473674231637,0.03859289802660884,03/01/22 17:00
5,MP 01: Naamsestraat 35  Maxim,-0.2581300950992931,2.1374046991736093,0.11593976310698145,0.054364066664118485,-0.004036870516935287,0.0030747613743762063,0.46440631943724026,0.09117488765634184,-0.018100497454518364,0.004287680567580871,0.048723543694391185,0.045886765682954474,0.10865116401363743,0.10127316451934074,0.2627616256727241,0.2837146595486702,-0.13446170063365911,0.0,0.0,-0.17322628981659746,0.04652005343428648,0.0,0.15244712764753673,0.963731032858866,-0.0008492425361703196,-5.3070305551798244e-05,0.00248833932128752,3.4615428726559225e-05,7.88295037952291e-05,0.006402585588993539,-0.12743530898739988,-0.011624479812740686,-0.008304611991310672,0.006914074555161515,0.015299847600124709,0.05477672339323062,03/01/22 18:00
6,MP 01: Naamsestraat 35  Maxim,-0.2558746606730333,2.188841088279317,0.21939554601968095,-0.022754495896396016,0.012682918150302772,-0.014454665630876488,0.29177719892433923,-0.08589233042686345,0.0566855423922387,0.03975019401737584,-0.025979938453827896,-0.04901508363990811,0.06792758000742667,0.13961881997336528,0.2355344880735231,0.29269759115488153,-0.13238361889179598,0.0,0.0,-0.14689168693860577,0.06317811969130145,0.0,0.08277732008110401,0.9003570131076524,-0.0008252717181988698,-4.770707482783773e-05,0.001741544912966941,3.166964758081189e-05,0.00021642124057408085,0.004432718390115497,-0.08823617513777074,-0.0048626748411557015,-0.007972016908623316,0.01327569651660936,-0.023060525611022613,0.04536354454974437,03/01/22 19:00
7,MP 01: Naamsestraat 35  Maxim,-0.2467331362337565,2.226648591092601,0.3417110669174837,0.24161374372130792,0.0038639768904173482,0.00930894634511234,0.7052087436147814,0.674343998406824,0.22222363756411176,0.03075303692867411,0.08588587548525976,0.03612399298658594,0.1927240820289848,0.14336855592156655,0.2791680731033007,0.3816657276275785,-0.09575544770608417,0.0,0.0,-0.048007998233754144,0.11081422450173431,0.0,0.11680145472844121,1.2750528758844941,-0.0007989886253153403,-4.711855971460467e-05,0.0018853561290830718,3.225515927306404e-05,0.00021916574033863486,0.005009340034798711,-0.0784888171655945,-0.022886058338935176,-0.01143653189903674,0.015914760762076378,0.010987264023860787,0.05452618111634784,03/01/22 20:00
8,MP 01: Naamsestraat 35  Maxim,-0.27810785423592305,-0.35015360081150265,-0.2337173576000457,-0.35561234207367576,-0.0068421643937498075,-0.38166843950670715,-0.01469904815345518,-0.64736759439281,-0.31983559549652785,-0.011260984426288938,-0.16770103701636105,-0.12355112160084646,-0.21573625344561018,-0.37054541536233804,0.1892462402766324,0.24107818578455772,-0.2566635373268061,0.0,0.0,-0.2919257448434883,-0.041064222666253876,0.0,0.10372640329301051,0.3446713602111468,-0.0008788843403702557,-5.353186627728293e-05,0.0027124533318527997,3.376974826725588e-05,3.8379310800483006e-05,0.00879315233279635,-0.07968802135983145,-0.01490867845525473,-0.016218711635010614,-0.012330184255353035,-0.011794613381918909,0.02322582431298199,03/01/22 21:00
9,MP 01: Naamsestraat 35  Maxim,-0.2522472894908168,0.07537777052718199,0.25824716987054874,0.1583844017141569,-0.0013031258843818959,0.0698642708272021,0.26564347275177086,0.30076627584452503,0.07695490844018946,-0.010628047380951149,0.10510094831798143,0.10586057071232899,0.14238215112719507,0.18460707934782258,0.31125645778027017,0.35281532649869574,-0.1164671500801761,0.0,0.0,-0.050821050333955724,0.07421521188061596,0.0,0.726757995828126,0.9220421075918547,-0.0009033563905320219,-5.4304770413565334e-05,0.0028281432205228777,3.448314634276572e-05,6.362739974119817e-05,0.0401102874224363,-0.02835969704428269,0.021845417822525363,0.013722996843694487,-0.01335035482446336,0.013551566924493993,0.04140256431509582,03/01/22 22:00
