,location,noise_events_count,hour,humidity,temp,solar_radiation,rain_intensity,daily_rain_sum,wind_dir,wind_speed,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3,lat,lon,alt,climate_zone,green_cover,building_height,sky_view_factor,installation_height,month,day_of_month,event_Human voice - Shouting,event_Human voice - Singing,event_Transport road - Passenger car,event_Transport road - Siren,event_Unsupported,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,formatted_date
1144,MP 02: Naamsestraat 57 Xior,-0.4596995522410388,-3.266876309194595,-0.8927348475412646,-0.3844529547358129,0.002087226322168298,0.014387108816504976,-0.06915264043657438,-0.3475609852964135,-2.944786621692219,-0.009782558536618,-0.1974483898437657,-0.1759589079169434,-0.1235195471084734,-0.5115499472986642,-0.22392162817873376,-0.1474373369333239,-0.11111361326244515,0.0,0.0,-0.19217260636359632,-0.17216165387822857,0.0,-0.23926885821751734,-1.257940826587766,-0.0005589815413682209,-0.00013348086441630964,0.002771725573240362,0.00010444902568064462,-1.5206607852333737e-05,-0.031835782671394204,-0.4543980731502669,0.007347237741068719,-0.013283638192424745,-0.0117011194895199,-0.05001022345404517,-0.0026872929544868476,03/01/22 00:00
1145,MP 02: Naamsestraat 57 Xior,-0.40497811976212433,-1.1765476980078222,-0.014764479065895605,0.5449798245099303,0.001253575383248721,0.03137017991180131,-0.057251481199700395,0.2951330821119209,-0.6174982556803159,-0.011013723055767515,0.16510319935470147,0.13433523295226882,0.3345685139932749,0.20302758156355233,0.017880887529689776,0.16921465352515824,0.0517215987477294,0.0,0.0,0.09718136301086075,0.20239540071656925,0.0,0.23523332229341734,1.3810153868710187,-0.0005569006637029558,-0.0001334483838852448,0.0028950182281236156,0.0001154344087918801,-6.631378307156889e-05,0.04408888513147437,-0.17026174412451223,-0.007239528143918958,0.0030368306607068936,0.06943807534556157,-0.021356670461930852,0.028714479371735314,03/01/22 01:00
1146,MP 02: Naamsestraat 57 Xior,-0.45563542817313124,-5.2335489471206715,-0.5753280564295944,0.0208882593288181,0.00133502332113387,0.005872892905680921,-0.06418757723924517,0.05593974947866464,-1.2313052217276006,-0.01324301892319749,-0.15583516799860886,-0.1257921689960318,-0.07910089817998688,-0.32231396366697496,-0.2616934206420138,0.10060046242736947,-0.15666084429657479,0.0,0.0,-0.11753342294848385,0.21632517361238748,0.0,-0.01656305791419824,1.5466437302433145,-0.0005730145486128007,-0.00011055499188203922,0.0028161641291178418,0.00011296744090433339,-1.2511814308447403e-05,-0.0013447329860529218,-0.2389011991524477,0.00553813929542893,-0.008036071742684172,0.007121232164685186,-0.04595703702684179,0.015516685460553183,03/01/22 02:00
1147,MP 02: Naamsestraat 57 Xior,-0.47816087347826697,-6.301694936066418,-0.4696097128738495,0.09783219330501013,0.0016278031157461708,0.004401894326254386,-0.06429232637854611,-0.0310054495153328,-0.8041430845909354,-0.01143324611281014,-0.20149518355329588,-0.03322125860267953,-0.06015543741223116,-0.3388262163758142,-0.22784670314063302,0.14922982794096307,0.032891459792161036,0.0,0.0,-0.10246168413815766,0.2334778235887834,0.0,-0.09241895107884059,1.6834716430765202,-0.0004774072467937844,-0.00010589793045664989,0.00292230367197829,0.0001144837688237433,1.0711555686429091e-05,0.011780964500332844,-0.27575793405309074,-0.0064193581092565665,-0.015485276728245097,0.0006576991974014236,-0.03047796842605252,0.0187042612608643,03/01/22 03:00
1148,MP 02: Naamsestraat 57 Xior,-0.3109297294289666,2.1750671161849375,-0.06736584555148079,-0.08020634323137123,0.0036406708785467097,-4.493363694131401e-05,0.11217447547821797,-0.11343977408061189,-0.5997118096638486,-0.03243260565876872,-0.07242239061998244,-0.022520791727126246,0.008436056245640915,-0.09476255164837659,-0.06641810283977524,0.042932060083150765,-0.21258482767069348,0.0,0.0,-0.26041072682396044,-0.13460597545376504,0.0,-0.06229922720488838,1.1074810605397172,-0.000866671229069665,-5.4873292477807545e-05,0.003314994020151612,4.054490764135718e-05,3.838012016269507e-05,-0.013493744576327077,-0.11218183302831877,-0.007277407543468942,-0.019243967959035997,-0.005616256720323352,-0.009339241572388326,0.025138435994197145,03/01/22 17:00
1149,MP 02: Naamsestraat 57 Xior,-0.27781449756842574,3.0508431984525397,0.39161866845846116,0.2551560487723595,0.009776607068145034,0.00878563987099181,0.33427744892731776,0.12721978427697106,0.15934073350510214,0.051825901812532015,0.04577779793050524,0.08876898292202094,0.23191076684991618,0.27091111483395786,-0.032600225358797134,0.045339435590144805,-0.15461262825888414,0.0,0.0,-0.17473183579565196,-0.05068489886111055,0.0,0.20352626397557827,1.0090586136881639,-0.0009703022689073114,-6.13120235923422e-05,0.003752249375284955,3.663116189341545e-05,-3.885374572630317e-05,-0.007036010434040177,-0.049798404913572104,-0.010607631586453864,0.009510305336451832,0.025217429044934854,0.020243541945283168,0.08309360030538612,03/01/22 18:00
1150,MP 02: Naamsestraat 57 Xior,-0.2952853450547194,2.8074829417119895,0.04902255086179143,-0.00701212699044709,0.007764440921526316,4.3049683487853934e-05,0.23789618935824033,-0.059085159367398825,-0.388112381938512,-0.0021401935103256943,-0.026552635110499833,-0.012447186456203295,0.08859974258237034,0.10943038608055168,-0.05452406415839214,0.04148599990420306,-0.194587648627175,0.0,0.0,-0.20199195765559078,-0.09400893481863289,0.0,0.09219056274093547,0.8859592511719158,-0.0008799994323548817,-5.307332721596485e-05,0.003466762719304563,3.521077256653848e-05,5.205951103784552e-07,-0.00976071131281146,-0.09089808112580826,-0.012578789494879044,-0.006135803557960101,0.008586198533819443,-0.003150497626871713,0.05327494521648575,03/01/22 19:00
1151,MP 02: Naamsestraat 57 Xior,-0.31552331965645664,1.9516567692924924,-0.18487090800071562,-0.5155076017187111,-0.008028416802758297,-0.014282865433350637,0.04080440862709087,-0.3153447864568966,-0.8184425431296702,-0.05327624598501993,-0.1775232701724444,-0.19324666103374455,-0.14192193943993872,-0.33182784744760324,-0.05977024675375883,-0.012751829820929914,-0.32256595887206735,0.0,0.0,-0.2860965264342153,-0.18947622824540825,0.0,-0.1608311189949605,0.36977311957979325,-0.0008471449102073174,-5.663888850136185e-05,0.003748660444862679,3.930410828217101e-05,1.7661228647776472e-06,-0.009337683871512223,-0.1843681427011898,-0.021680993210202684,-0.026466114375111906,-0.028672336564430984,-0.03191215088298132,0.027639654916664737,03/01/22 20:00
1152,MP 02: Naamsestraat 57 Xior,-0.2960475054932238,1.8605060844008556,0.35913960003464174,0.04512915235084198,-0.0001932585356707214,0.0187142882701391,0.5267945904803325,0.22741134266546986,0.22475333525256735,-0.012102213797433928,-0.018255718481450006,-0.008790185819016878,0.11979357961344908,-0.02864064939368877,-0.022344660966283323,0.015892496953943607,-0.20281366484256347,0.0,0.0,-0.1616548094149322,-0.10566723930940236,0.0,0.5945953327164527,0.7177031858205754,-0.0009569402254343389,-5.8108009516826136e-05,0.004471399829881518,3.790861548295957e-05,2.0259316307438423e-05,0.008707598787692112,-0.1139328167227374,0.019479970807865902,-0.0018951911519930669,0.0038842862798107417,-0.013998208806876697,0.051350922062900116,03/01/22 21:00
1153,MP 02: Naamsestraat 57 Xior,-0.30651007187665397,0.7246091857994392,0.25627433358750207,0.26800623313786376,0.0020292301798719692,0.07003774491139912,0.2876790503701357,-0.0726568434536312,-0.045149628154877317,-0.011050575671223894,0.06663347719636709,0.0649772615135092,0.1368954443502834,0.17255525644756337,-0.05418728208276568,0.06195524422286634,-0.2218418194490571,0.0,0.0,-0.2239537294313007,-0.04313222972683581,0.0,0.9136314585624129,0.9934919202726202,-0.0009623830245345566,-5.841532809218797e-05,0.004468452067567821,3.790861548295957e-05,2.340659524441329e-05,-0.00023376534523528492,0.0025052518143941506,0.03982354838515455,0.017866206651088797,0.009598356900463432,0.0023402060886648715,0.056165062497566115,03/01/22 22:00
