month,day,hour,weekend,temp,rain,lamax
2,28,8,0,1.6643995,0.0,58.67989296636086
2,28,13,0,8.688461666666667,0.0,57.61006289308176
2,28,14,0,9.376326166666669,0.0,57.10172126596335
2,28,15,0,9.501954333333334,0.0,56.25822222222222
2,28,16,0,9.366821333333332,0.0,57.101444444444446
2,28,17,0,8.477265000000001,0.0,56.114527777777774
2,28,18,0,6.912222833333334,0.0,56.627
2,28,19,0,5.8975565,0.0,56.25252777777778
2,28,20,0,5.201543666666667,0.0,56.55555555555556
2,28,21,0,3.972860333333333,0.0,58.03063888888889
2,28,22,0,3.005645833333334,0.0,58.94263888888889
2,28,23,0,2.579301,0.0,59.31603223117533
3,1,0,0,1.7298326666666668,0.0,63.333277777777774
3,1,1,0,1.9552413333333332,0.0,66.93133333333333
3,1,2,0,1.8921816666666669,0.0,65.49902777777778
3,1,3,0,1.5009175,0.0,65.47286111111111
3,1,4,0,1.3285028333333333,0.0,57.743138888888886
3,1,5,0,2.0832956666666664,0.0,48.926944444444445
3,1,6,0,2.189852,0.0,50.72983333333333
3,1,7,0,1.8586646666666664,0.0,54.11138888888889
3,1,8,0,3.07359,0.0,59.214666666666666
3,1,9,0,4.5834285,0.0,56.46288888888888
3,1,10,0,6.127911666666667,0.0,58.25763888888889
3,1,11,0,7.672814166666666,0.0,57.04222222222222
3,1,12,0,8.783995666666668,0.0,56.869166666666665
3,1,13,0,9.605624333333331,0.0,59.690305555555554
3,1,14,0,9.890784833333331,0.0,56.20061111111112
3,1,15,0,10.014029333333331,0.0,57.52377777777778
3,1,16,0,10.0194485,0.0,57.57563888888888
3,1,17,0,9.305165333333331,0.0,56.62630555555556
3,1,18,0,8.878030166666667,0.0,58.21833333333333
3,1,19,0,8.553673166666668,0.0,57.13327777777778
3,1,20,0,7.929361,0.0,57.62975
3,1,21,0,7.529663833333333,0.0,56.97277777777778
3,1,22,0,7.305045666666667,0.0,59.52422222222223
3,1,23,0,6.9475565,0.0,58.54005555555556
3,2,0,0,6.505050166666667,0.0,63.487944444444445
3,2,1,0,6.524642166666666,0.0,66.18280555555556
3,2,2,0,6.492093333333333,0.0,65.74372222222222
3,2,3,0,6.189602833333333,0.0,62.09777777777778
3,2,4,0,5.6732345,0.0,55.765
3,2,5,0,5.177068833333333,0.0,50.69097222222222
3,2,6,0,4.486297166666667,0.0,51.23530555555556
3,2,7,0,4.449526333333334,0.0,53.82877777777778
3,2,8,0,4.874776333333333,0.0,53.97463888888889
3,2,9,0,5.907424,0.0,53.38972222222223
3,2,10,0,7.1972245,0.0,58.03227777777778
3,2,11,0,8.475550166666666,0.0,59.17194444444444
3,2,12,0,9.704761666666666,0.0,56.03483333333333
3,2,13,0,10.102651666666668,0.0,55.43105555555555
3,2,14,0,10.964608333333333,0.0,54.80994444444444
3,2,15,0,11.356358333333333,0.0,54.28608333333333
3,2,16,0,11.327745,0.0,55.184694444444446
3,2,17,0,9.820295666666668,0.0,57.3575
3,2,18,0,8.714203333333332,0.0,56.98275
3,2,19,0,7.9482515,0.0,57.91480555555555
3,2,20,0,7.461241166666666,0.0,57.07191666666667
3,2,21,0,6.1900625,0.0,57.94084467907752
3,2,22,0,4.884797166666666,0.0,60.06211111111112
3,2,23,0,3.9749766666666666,0.0,61.689
3,3,0,0,3.7476595,0.0,66.28363888888889
3,3,1,0,2.786471166666667,0.0,69.17938888888888
3,3,2,0,2.3832081666666665,0.0,68.00391666666667
3,3,3,0,2.3883396666666665,0.0,65.48436111111111
3,3,4,0,2.0526985,0.0,62.068888888888885
3,3,5,0,1.8263821666666664,0.0,51.429805555555554
3,3,6,0,1.957132,0.0,52.545
3,3,7,0,1.9775003333333332,0.0,51.32516666666667
3,3,8,0,3.067667833333333,0.0,55.19252777777778
3,3,9,0,5.076937999999999,0.0,59.5535
3,3,10,0,6.776796333333333,0.0,59.39872222222222
3,3,11,0,8.259093833333333,0.0,56.403083333333335
3,3,12,0,9.7696265,0.0,55.496833333333335
3,3,13,0,10.70432,0.0,55.836666666666666
3,3,14,0,11.245866666666666,0.0,59.40633333333333
3,3,15,0,11.635566666666668,0.0,55.790638888888886
3,3,16,0,11.606756666666667,0.0,56.595333333333336
3,3,17,0,10.717063333333334,0.0,58.25755555555556
3,3,18,0,9.401227166666668,0.0,58.85394444444445
3,3,19,0,8.410918,0.0,59.11483333333333
3,3,20,0,7.506844666666667,0.0,58.09236111111111
3,3,21,0,6.657102666666667,0.0,57.5918310641845
3,3,22,0,5.932946833333333,0.0,58.02797222222223
3,3,23,0,5.300604,0.0,59.06063888888889
3,4,0,0,4.540009666666667,0.0,62.47597222222223
3,4,1,0,4.105873166666667,0.0,62.47916666666666
3,4,2,0,3.7283146666666656,0.0,62.09458333333333
3,4,3,0,3.097678833333333,0.0,58.29288888888889
3,4,4,0,2.6985871666666665,0.0,57.06480555555555
3,4,5,0,2.1881801666666667,0.0,56.02383333333333
3,4,6,0,1.913808,0.0,54.68386111111111
3,4,7,0,1.7985973333333334,0.0,53.54430555555555
3,4,8,0,2.8560485,0.0,55.976
3,4,9,0,4.906158666666667,0.0,60.61155555555556
3,4,10,0,6.445923166666667,0.0,57.62994444444444
3,4,11,0,7.9115635,0.0,56.539638888888895
3,4,12,0,9.296137,0.0,57.19055555555556
3,4,13,0,10.263351333333333,0.0,57.14538888888889
3,4,14,0,10.614255,0.0,57.232083333333335
3,4,15,0,10.685891666666668,0.0,56.81191666666666
3,4,16,0,10.2306595,0.0,56.88133333333333
3,4,17,0,9.364756,0.0,58.15036111111111
3,4,18,0,8.245851166666666,0.0,59.54541666666667
3,4,19,0,7.457097999999999,0.0,58.00152777777778
3,4,20,0,6.8075426666666665,0.0,56.81436111111111
3,4,21,0,4.967373,0.0,55.56516666666667
3,4,22,0,4.8335105,0.0,56.06755555555556
3,4,23,0,3.3808838333333333,0.0,55.85919444444445
3,5,0,1,1.7932568333333334,0.0,58.23188888888888
3,5,1,1,0.8251710999999999,0.0,60.5385
3,5,2,1,0.3016525666666667,0.0,59.588027777777775
3,5,3,1,-0.10202125,0.0,58.12094444444444
3,5,4,1,-0.3201614,0.0,54.46727777777778
3,5,5,1,-0.8836023000000001,0.0,50.68380555555556
3,5,6,1,-1.457685,0.0,48.288944444444446
3,5,7,1,-1.5788315,0.0,48.6855
3,5,8,1,-0.3173197666666666,0.0,48.85022222222222
3,5,9,1,2.404351166666667,0.0,53.09119444444444
3,5,10,1,4.837428500000001,0.0,53.16674999999999
3,5,11,1,6.019764,0.0,53.83069444444445
3,5,12,1,6.942503500000001,0.0,54.16663888888889
3,5,13,1,8.308641333333332,0.0,54.908138888888885
3,5,14,1,9.347923666666668,0.0,55.633500000000005
3,5,15,1,9.802082166666668,0.0,54.32041666666667
3,5,16,1,9.879375833333333,0.0,54.92188888888889
3,5,17,1,9.125327333333331,0.0,55.0515
3,5,18,1,8.0362615,0.0,55.17755555555556
3,5,19,1,6.800970499999999,0.0,54.68688888888889
3,5,20,1,5.547027166666666,0.0,54.23455555555555
3,5,21,1,4.770210166666666,0.0,53.672222222222224
3,5,22,1,4.144195,0.0,53.99758333333333
3,5,23,1,3.211167,0.0,51.64702777777777
3,6,0,1,2.5103241666666665,0.0,52.34886111111111
3,6,1,1,2.1158993333333336,0.0,51.96811111111112
3,6,2,1,1.51698,0.0,48.89361111111111
3,6,3,1,0.8179299666666666,0.0,48.73719444444444
3,6,4,1,0.2094389666666666,0.0,48.57025
3,6,5,1,0.1045942633333333,0.0,48.17897222222222
3,6,6,1,-0.28472205,0.0,47.15533333333334
3,6,7,1,-0.3268050333333333,0.0,45.74630555555556
3,6,8,1,0.1927721783333333,0.0,46.69227777777778
3,6,9,1,1.0181666166666667,0.0,50.09377777777778
3,6,10,1,2.557532,0.0,48.594277777777776
3,6,11,1,4.329475166666667,0.0,52.16522222222222
3,6,12,1,5.645355166666668,0.0,53.20897222222222
3,6,13,1,6.500674166666666,0.0,50.68675
3,6,14,1,6.790857,0.0,52.45183333333333
3,6,15,1,6.74947,0.0,53.094638888888895
3,6,16,1,6.254162,0.0,53.935750000000006
3,6,17,1,5.433604833333334,0.0,55.21797222222222
3,6,18,1,4.525198166666667,0.0,56.07991666666667
3,6,19,1,3.8158053333333335,0.0,55.99008333333333
3,6,20,1,3.091362,0.0,56.97980555555555
3,6,21,1,2.285495,0.0,57.720866907474296
3,6,22,1,1.7064588333333337,0.0,55.142833333333336
3,6,23,1,1.3277261666666669,0.0,56.57658333333334
3,7,0,0,1.02559345,0.0,61.38622222222222
3,7,1,0,0.2199676766666667,0.0,60.22597222222223
3,7,2,0,-0.07829297,0.0,58.09313888888889
