month,day,hour,weekend,temp,rain
1,6,22,0,4.02017,0.0
1,6,23,0,4.338595833333334,0.002
1,7,0,0,4.697276166666667,0.0
1,7,1,0,4.7382040000000005,0.0
1,7,2,0,4.2327265,0.003
1,7,3,0,3.500430833333333,0.0
1,7,4,0,3.6265096666666667,0.003
1,7,5,0,3.956787333333333,0.0
1,7,6,0,4.229429166666667,0.001
1,7,7,0,4.5662053333333334,0.001
1,7,8,0,4.7567255,0.0
1,7,9,0,5.208216,0.002
1,7,10,0,5.673643666666667,0.0
1,7,11,0,5.864700833333334,0.002
1,7,12,0,5.2114335,0.0
1,7,13,0,5.528538666666667,0.003
1,7,14,0,5.136957333333334,0.0
1,7,15,0,4.1305258333333335,0.0
1,7,16,0,2.6926016666666666,0.001
1,7,17,0,2.803683,0.0
1,7,18,0,3.013457333333333,0.0
1,7,19,0,3.3406826666666665,0.001
1,7,20,0,3.6895626666666668,0.0
1,7,21,0,3.79609,0.0
1,7,22,0,3.9083098333333335,0.002
1,7,23,0,3.4739473333333333,0.0
1,8,0,1,3.2434204999999996,0.002
1,8,1,1,3.0050268333333334,0.001
1,8,2,1,2.317881,0.0
1,8,3,1,1.947459,0.0
1,8,4,1,1.5842184999999998,0.002
1,8,5,1,1.4154609999999999,0.0
1,8,6,1,1.6047968333333333,0.0
1,8,7,1,1.6378308333333333,0.002
1,8,8,1,1.9102471666666665,0.0
1,8,9,1,2.5645279999999997,0.0
1,8,10,1,3.2006076666666665,0.0
1,8,11,1,3.6931480000000003,0.002
1,8,12,1,3.782333833333334,0.0
1,8,13,1,3.9943220000000004,0.0
1,8,14,1,4.630849333333333,0.002
1,8,15,1,5.1627455,0.0
1,8,16,1,5.832056333333334,0.0
1,8,17,1,6.166075500000001,0.0
1,8,18,1,6.4271476666666665,0.002
1,8,19,1,6.5589794999999995,0.0
1,8,20,1,6.8111551666666665,0.0
1,8,21,1,6.800402166666667,0.002
1,8,22,1,6.8148185,0.0
1,8,23,1,6.487842666666666,0.0
1,9,0,1,5.943208333333334,0.0
1,9,1,1,6.035801833333333,0.001
1,9,2,1,6.188464333333333,0.0
1,9,3,1,6.268563666666666,0.0
1,9,4,1,5.965175333333334,0.0
1,9,5,1,5.451956166666666,0.0
1,9,6,1,5.1749995,0.002
1,9,7,1,4.760357,0.0
1,9,8,1,4.809767833333333,0.0
1,9,9,1,4.816457666666667,0.0
1,9,10,1,5.197934,0.0
1,9,11,1,5.813261,0.001
1,9,12,1,6.309062166666667,0.0
1,9,13,1,6.528319833333334,0.0
1,9,14,1,6.602784499999999,0.0
1,9,15,1,6.324894833333333,0.003
1,9,16,1,5.864959833333334,0.0
1,9,17,1,4.920048333333333,0.0
1,9,18,1,4.140795166666666,0.0
1,9,19,1,3.3681731666666668,0.0
1,9,20,1,2.440186,0.002
1,9,21,1,1.9554041666666666,0.0
1,9,22,1,1.4531654999999999,0.0
1,9,23,1,0.9288979666666667,0.0
1,10,0,0,0.5443615,0.0
1,10,1,0,0.39893333333333336,0.0
1,10,2,0,0.03808818,0.002
1,10,3,0,-0.07947148666666666,0.001
1,10,4,0,-0.20314835,0.0
1,10,5,0,-0.14819093333333333,0.0
1,10,6,0,-0.20365163333333333,0.0
1,10,7,0,-0.3197654,0.0
1,10,8,0,-0.25704811666666666,0.0
1,10,9,0,-0.14885682833333333,0.002
1,10,10,0,0.1479110705,0.0
1,10,11,0,0.5620989200000001,0.0
1,10,12,0,0.7543569666666667,0.0
1,10,13,0,0.9108525166666667,0.0
1,10,14,0,1.0782195833333332,0.0
1,10,15,0,1.1271801666666665,0.0
1,10,16,0,1.153237,0.0
1,10,17,0,1.2471743333333334,0.0
1,10,18,0,1.1106038333333335,0.0
1,10,19,0,0.9870763333333334,0.0
1,10,20,0,1.0769513333333334,0.0
1,10,21,0,1.2325795,0.0
1,10,22,0,1.2936766666666666,0.0
1,10,23,0,1.2491595,0.0
1,11,0,0,1.2296631666666666,0.0
1,11,1,0,1.108026,0.0
1,11,2,0,0.9974107833333333,0.0
1,11,3,0,0.892526,0.0
1,11,4,0,0.6421363833333333,0.0
1,11,5,0,0.5534275333333333,0.0
1,11,6,0,0.6448844333333333,0.0
1,11,7,0,0.7998264666666667,0.0
1,11,8,0,1.1229186666666668,0.0
1,11,9,0,1.6618181666666667,0.0
1,11,10,0,2.4319565,0.0
1,11,11,0,4.109879833333333,0.0
1,11,12,0,4.9806725,0.0
1,11,13,0,5.2736345,0.0
1,11,14,0,5.6120425,0.0
1,11,15,0,5.82135,0.0
1,11,16,0,4.756339333333334,0.0
1,11,17,0,3.7431033333333334,0.0
1,11,18,0,2.9702889999999997,0.0
1,11,19,0,2.1157038333333333,0.0
1,11,20,0,1.7031303333333334,0.0
1,11,21,0,1.6160081666666668,0.0
1,11,22,0,1.1900388333333334,0.0
1,11,23,0,0.9253512666666667,0.0
1,12,0,0,0.8537519833333334,0.0
1,12,1,0,1.2834775,0.0
1,12,2,0,1.7557954999999998,0.0
1,12,3,0,1.8662075,0.0
1,12,4,0,1.8972548333333332,0.0
1,12,5,0,1.915653,0.0
1,12,6,0,2.272212,0.0
1,12,7,0,2.4714343333333333,0.0
1,12,8,0,2.521429,0.0
1,12,9,0,2.8156084999999997,0.0
1,12,10,0,3.132982,0.0
1,12,11,0,3.751556666666667,0.0
1,12,12,0,4.170375666666667,0.0
1,12,13,0,4.208519,0.0
1,12,14,0,4.223374499999999,0.0
1,12,15,0,4.234601666666666,0.0
1,12,16,0,3.9336943333333334,0.0
1,12,17,0,3.7340923333333333,0.0
1,12,18,0,3.4285870000000003,0.0
1,12,19,0,3.2769324999999996,0.0
1,12,20,0,3.3228104999999997,0.0
1,12,21,0,3.2851138333333334,0.0
1,12,22,0,3.239516666666667,0.0
1,12,23,0,3.0975854999999997,0.0
1,13,0,0,3.0016715,0.0
1,13,1,0,2.6919731666666666,0.0
1,13,2,0,2.2888083333333333,0.0
1,13,3,0,1.7902244999999999,0.0
1,13,4,0,1.5998326666666667,0.0
1,13,5,0,1.3383508333333334,0.0
1,13,6,0,1.0774886666666668,0.0
1,13,7,0,0.8264300833333333,0.0
1,13,8,0,0.4830975833333333,0.0
1,13,9,0,0.6341467,0.0
1,13,10,0,0.8949584333333332,0.0
1,13,11,0,1.8040253333333334,0.0
1,13,12,0,3.670545,0.0
1,13,13,0,5.1172095,0.0
1,13,14,0,5.552227333333334,0.0
1,13,15,0,5.4072336666666665,0.0
1,13,16,0,4.775070333333333,0.0
1,13,17,0,3.711714833333333,0.0
1,13,18,0,3.2706423333333334,0.0
1,13,19,0,2.8276958333333333,0.0
1,13,20,0,2.253224,0.0
1,13,21,0,1.782477,0.0
1,13,22,0,1.1637579999999998,0.0
1,13,23,0,1.0060173833333332,0.0
1,14,0,0,0.6617807333333333,0.0
1,14,1,0,0.22559759499999998,0.0
1,14,2,0,-0.10039753333333334,0.0
1,14,3,0,-0.14280623333333334,0.0
1,14,4,0,-0.06427990833333333,0.0
1,14,5,0,0.27479186666666666,0.0
1,14,6,0,0.3866008,0.0
1,14,7,0,0.7928545000000001,0.0
1,14,8,0,0.8328564666666667,0.0
1,14,9,0,1.0440897999999998,0.0
1,14,10,0,2.471012,0.0
1,14,11,0,4.3213,0.0
1,14,12,0,5.914891833333333,0.0
1,14,13,0,7.4307680000000005,0.0
1,14,14,0,7.332039333333333,0.0
1,14,15,0,6.880491166666666,0.0
1,14,16,0,5.854638666666666,0.0
1,14,17,0,5.264737333333334,0.0
1,14,18,0,5.1152625,0.0
1,14,19,0,5.130336,0.0
1,14,20,0,5.125612333333334,0.0
1,14,21,0,4.972082,0.0
1,14,22,0,4.710975,0.0
1,14,23,0,4.5976285,0.0
1,15,0,1,4.319077833333334,0.0
1,15,1,1,4.264437833333333,0.0
1,15,2,1,4.043267166666666,0.0
1,15,3,1,3.7466030000000003,0.0
1,15,4,1,3.375640166666667,0.0
1,15,5,1,2.9764656666666665,0.0
1,15,6,1,2.751723333333333,0.0
1,15,7,1,2.580498,0.0
1,15,8,1,2.2948226666666667,0.0
1,15,9,1,2.0334756666666665,0.0
1,15,10,1,1.7388231666666665,0.0
1,15,11,1,1.7755653333333334,0.0
1,15,12,1,2.291209166666667,0.0
1,15,13,1,3.0905085,0.0
1,15,14,1,3.7188761666666665,0.0
1,15,15,1,3.7919015,0.0
1,15,16,1,3.4206928333333333,0.0
1,15,17,1,3.016061333333333,0.0
1,15,18,1,2.6256893333333333,0.0
1,15,19,1,1.8591656666666667,0.0
1,15,20,1,1.3678963333333334,0.0
1,15,21,1,0.9658403666666667,0.0
1,15,22,1,0.6352584,0.0
1,15,23,1,0.34547598333333335,0.0
1,16,0,1,0.6976701,0.0
1,16,1,1,1.0456331,0.0
1,16,2,1,1.6513666666666669,0.0
1,16,3,1,2.3513046666666666,0.0
1,16,4,1,2.7167453333333333,0.0
1,16,5,1,2.8059871666666667,0.0
1,16,6,1,2.761517,0.0
1,16,7,1,2.9879351666666665,0.0
1,16,8,1,3.162945,0.0
1,16,9,1,2.9497618333333335,0.0
1,16,10,1,3.2173886666666665,0.0
1,16,11,1,3.5775141666666666,0.0
1,16,12,1,3.5802720000000003,0.0
1,16,13,1,3.698027833333333,0.0
1,16,14,1,3.9028666666666667,0.0
1,16,15,1,3.9955686666666668,0.0
1,16,16,1,4.027864666666667,0.002
1,16,17,1,3.912611,0.002
1,16,18,1,3.8419061666666665,0.002
1,16,19,1,3.8638807999999996,0.002
1,16,20,1,3.9020161666666664,0.002
1,16,21,1,4.071868333333334,0.003
1,16,22,1,4.140684833333333,0.002
1,16,23,1,4.278778,0.003
1,17,0,0,4.469787,0.002
1,17,1,0,4.7271395,0.002
1,17,2,0,4.98853,0.003
1,17,3,0,5.1460175,0.002
1,17,4,0,5.326024666666666,0.002
1,17,5,0,5.318338,0.002
1,17,6,0,5.457469833333334,0.002
1,17,7,0,5.701766,0.002
1,17,8,0,6.0200206666666665,0.003
1,17,9,0,6.382037333333333,0.002
1,17,10,0,6.547888,0.002
1,17,11,0,6.7902505,0.001
1,17,12,0,7.147229333333333,0.002
1,17,13,0,7.545779,0.003
1,17,14,0,7.923683833333333,0.003
1,17,15,0,8.107922666666667,0.002
1,17,16,0,7.907669666666667,0.002
1,17,17,0,7.750599833333333,0.002
1,17,18,0,7.5695665000000005,0.002
1,17,19,0,7.334974333333332,0.002
1,17,20,0,7.288683333333334,0.003
1,17,21,0,6.974596000000001,0.002
1,17,22,0,6.312772833333334,0.002
1,17,23,0,6.037574,0.002
1,18,0,0,6.254100833333333,0.003
1,18,1,0,6.303269666666666,0.001
