month,day,hour,lamax
02,01,00,48.76161111111111
02,01,01,42.281527777777775
02,01,02,39.62525
02,01,03,40.094166666666666
02,01,04,40.81472222222222
02,01,05,44.669694444444445
02,01,06,49.70125
02,01,07,56.19708333333333
02,01,08,59.11286111111111
02,01,09,59.15438888888889
02,01,10,58.96013888888889
02,01,11,59.027027777777775
02,01,12,58.356972222222225
02,01,13,56.87277777777778
02,01,14,58.22011111111111
02,01,15,58.897749999999995
02,01,16,57.677055555555555
02,01,17,58.13580555555556
02,01,18,58.19111111111111
02,01,19,58.281555555555556
02,01,20,55.64141666666667
02,01,21,53.811
02,01,22,52.96744444444444
02,01,23,51.436611111111105
02,02,00,53.68994444444444
02,02,01,49.04961111111111
02,02,02,43.00152777777778
02,02,03,40.408388888888894
02,02,04,42.263250000000006
02,02,05,43.769444444444446
02,02,06,48.504083333333334
02,02,07,52.450916666666664
02,02,08,57.605694444444445
02,02,09,56.03733333333333
02,02,10,55.49463888888889
02,02,11,57.30269444444445
02,02,12,57.70769444444445
02,02,13,56.807805555555554
02,02,14,55.94416342412452
02,02,15,56.40136111111111
02,02,16,56.46002777777778
02,02,17,56.59638888888889
02,02,18,58.67111111111111
02,02,19,57.47863888888889
02,02,20,56.17955555555555
02,02,21,54.22983333333333
02,02,22,50.553
02,02,23,50.31366666666667
02,03,00,47.67655555555556
02,03,01,41.53922222222223
02,03,02,38.93266666666667
02,03,03,36.35527777777778
02,03,04,37.4285
02,03,05,41.38688888888888
02,03,06,52.15163888888889
02,03,07,57.13294444444445
02,03,08,57.52963888888889
02,03,09,55.83880555555556
02,03,10,56.465222222222216
02,03,11,57.34455555555555
02,03,12,57.70380555555556
02,03,13,56.7685
02,03,14,57.21394444444445
02,03,15,57.7515
02,03,16,57.03069444444444
02,03,17,57.54488888888889
02,03,18,58.19808333333334
02,03,19,57.44830555555556
02,03,20,56.81108333333333
02,03,21,56.40702777777778
02,03,22,53.072
02,03,23,52.33361111111111
02,04,00,54.445861111111114
02,04,01,42.37094444444444
02,04,02,43.552055555555555
02,04,03,40.687777777777775
02,04,04,40.39216666666666
02,04,05,43.71111111111111
02,04,06,49.84075
02,04,07,54.552861111111106
02,04,08,59.209583333333335
02,04,09,59.13491666666667
02,04,10,58.48950000000001
02,04,11,58.54522222222222
02,04,12,59.661
02,04,13,58.16858333333333
02,04,14,57.773694444444445
02,04,15,59.464555555555556
02,04,16,59.37363888888889
02,04,17,59.33738888888889
02,04,18,59.79888888888889
02,04,19,58.43122222222222
02,04,20,57.19616666666667
02,04,21,55.54627777777778
02,04,22,55.43355555555555
02,04,23,53.97677777777778
02,05,00,54.67305555555556
02,05,01,45.18102777777778
02,05,02,39.90361111111111
02,05,03,40.20697222222223
02,05,04,38.908166666666666
02,05,05,40.708194444444445
02,05,06,44.288555555555554
02,05,07,47.05744444444444
02,05,08,50.38302777777778
02,05,09,51.92494444444444
02,05,10,54.60780555555556
02,05,11,54.98244444444444
02,05,12,56.73013888888889
02,05,13,56.030499999999996
02,05,14,56.21401167639699
02,05,15,55.704166666666666
02,05,16,55.60736111111111
02,05,17,57.35886111111111
02,05,18,56.87225
02,05,19,56.57122222222222
02,05,20,55.554944444444445
02,05,21,54.301944444444445
02,05,22,52.209169213670464
02,05,23,53.00941666666667
02,06,00,51.96244444444444
02,06,01,43.73777777777778
02,06,02,43.7675
02,06,03,41.98908333333333
02,06,04,43.311861111111114
02,06,05,43.499361111111114
02,06,06,43.71311111111111
02,06,07,45.58763888888889
02,06,08,48.09730555555555
02,06,09,53.30330555555555
02,06,10,54.24994444444444
02,06,11,55.41719444444444
02,06,12,56.42633333333333
02,06,13,57.70919444444445
02,06,14,56.158277777777776
02,06,15,54.66416666666667
02,06,16,53.62002777777778
02,06,17,55.15197222222223
02,06,18,56.16144444444445
02,06,19,58.00691666666666
02,06,20,55.23427777777778
02,06,21,53.66963888888889
02,06,22,49.96977777777778
02,06,23,47.05372222222222
02,07,00,47.57677777777778
02,07,01,40.155166666666666
02,07,02,37.03266666666667
02,07,03,35.86991666666667
02,07,04,38.319833333333335
02,07,05,42.49058333333333
02,07,06,49.15880555555556
02,07,07,54.97847222222222
02,07,08,57.61127777777778
02,07,09,56.69972222222222
02,07,10,55.69363888888889
02,07,11,55.52136111111111
02,07,12,55.280166666666666
02,07,13,54.97405555555556
02,07,14,55.94494444444444
02,07,15,56.65175
02,07,16,55.64980555555555
02,07,17,55.78630555555556
02,07,18,55.66722222222222
02,07,19,53.976611111111104
02,07,20,53.09088888888889
02,07,21,51.11033333333334
02,07,22,48.447833333333335
02,07,23,47.6365
02,08,00,47.04702777777777
02,08,01,38.591944444444444
02,08,02,37.24736111111111
02,08,03,38.61691666666667
02,08,04,39.29272222222222
02,08,05,44.47969444444444
02,08,06,54.21022222222222
02,08,07,56.026694444444445
02,08,08,59.309333333333335
02,08,09,58.28813888888889
02,08,10,57.64238888888889
02,08,11,55.742777777777775
02,08,12,56.19263888888889
02,08,13,55.833444444444446
02,08,14,54.930277777777775
02,08,15,57.25513888888889
02,08,16,55.8767306088407
02,08,17,56.05291666666667
02,08,18,55.65186111111112
02,08,19,54.09447222222222
02,08,20,53.62980555555555
02,08,21,49.54875
02,08,22,50.09252777777778
02,08,23,46.358333333333334
02,09,00,45.026777777777774
02,09,01,40.705777777777776
02,09,02,37.48630555555556
02,09,03,37.30108333333333
02,09,04,37.37358333333333
02,09,05,41.02280555555556
02,09,06,47.678555555555555
02,09,07,55.78936111111111
02,09,08,57.778305555555555
02,09,09,55.748305555555554
02,09,10,56.73705555555556
02,09,11,57.35383333333333
02,09,12,57.409666666666666
02,09,13,56.846777777777774
02,09,14,55.96148930258405
02,09,15,54.65661111111111
02,09,16,54.38827777777777
02,09,17,55.65047222222223
02,09,18,55.96483333333333
02,09,19,55.521499999999996
02,09,20,55.45125
02,09,21,51.610277777777775
02,09,22,49.766083333333334
02,09,23,48.40661111111111
02,10,00,46.20147222222222
02,10,01,40.502916666666664
02,10,02,36.06586111111111
02,10,03,36.3525
02,10,04,37.67930555555556
02,10,05,44.89325
02,10,06,53.05422222222222
02,10,07,55.797888888888885
02,10,08,58.95216666666666
02,10,09,57.94188888888888
02,10,10,59.37008333333333
02,10,11,57.38622222222222
02,10,12,57.51772222222222
02,10,13,57.08638888888889
02,10,14,57.54133333333333
02,10,15,58.25933333333334
02,10,16,55.94636111111111
02,10,17,59.43072222222222
02,10,18,58.476527777777775
02,10,19,58.22527777777778
02,10,20,54.97552777777778
02,10,21,51.43333333333333
02,10,22,51.53794444444445
02,10,23,48.888083333333334
02,11,00,46.54677777777778
02,11,01,40.68530555555556
02,11,02,39.134277777777775
02,11,03,38.67208333333333
02,11,04,38.879527777777774
02,11,05,43.154361111111115
02,11,06,48.19683333333334
02,11,07,55.056000000000004
02,11,08,57.95780555555556
02,11,09,59.325805555555554
02,11,10,59.85927777777778
02,11,11,57.75630555555556
02,11,12,57.42138888888889
02,11,13,61.32745207001945
02,11,14,56.14363888888889
02,11,15,57.950916666666664
02,11,16,56.28125
02,11,17,56.95116666666667
02,11,18,57.407833333333336
02,11,19,58.210861111111114
02,11,20,55.77122222222222
02,11,21,54.154694444444445
02,11,22,54.61113888888889
02,11,23,53.14047222222223
02,12,00,52.560249999999996
02,12,01,44.455638888888885
02,12,02,41.681916666666666
02,12,03,41.18247222222222
02,12,04,36.26116666666667
02,12,05,38.730777777777774
02,12,06,39.331694444444445
02,12,07,45.086777777777776
02,12,08,49.11108641289247
02,12,09,51.611000000000004
02,12,10,53.945499999999996
02,12,11,54.18608333333333
02,12,12,54.154583333333335
02,12,13,56.27352777777778
02,12,14,54.856944444444444
02,12,15,56.71880555555556
02,12,16,55.38991666666667
02,12,17,57.645694444444445
02,12,18,57.279444444444444
02,12,19,56.42033333333334
02,12,20,55.6365
02,12,21,54.01133333333333
02,12,22,53.122027777777774
02,12,23,50.742916666666666
02,13,00,50.967305555555555
02,13,01,44.86080555555555
02,13,02,43.464277777777774
02,13,03,37.993027777777776
02,13,04,37.044444444444444
02,13,05,43.711555555555556
02,13,06,51.52272222222222
02,13,07,50.85066666666666
02,13,08,49.84977777777778
02,13,09,51.534888888888894
02,13,10,54.14011111111111
02,13,11,55.11508333333333
02,13,12,55.084111111111106
02,13,13,54.8085
02,13,14,54.09527777777778
02,13,15,55.918055555555554
02,13,16,55.72388888888889
02,13,17,54.965472222222225
02,13,18,56.32991666666667
02,13,19,57.09508333333333
02,13,20,58.58686111111111
02,13,21,58.06783333333334
02,13,22,55.26375
02,13,23,49.03216666666666
02,14,00,46.62916666666667
02,14,01,39.715333333333334
02,14,02,39.747
02,14,03,39.065416666666664
02,14,04,40.47866666666667
02,14,05,43.128083333333336
02,14,06,46.858472222222225
02,14,07,56.456027777777784
02,14,08,59.39694444444444
02,14,09,57.534083333333335
02,14,10,57.87911111111111
02,14,11,58.384055555555555
02,14,12,58.09736111111111
02,14,13,58.829388888888886
02,14,14,57.71180555555556
02,14,15,59.06472222222222
02,14,16,58.758071686579605
02,14,17,57.70125
02,14,18,58.142361111111114
02,14,19,57.77377777777778
02,14,20,57.71019444444445
02,14,21,56.06852777777778
02,14,22,55.69533333333334
02,14,23,51.66119444444444
02,15,00,54.2825
02,15,01,44.80988888888889
02,15,02,42.55277777777778
02,15,03,41.617694444444446
02,15,04,39.06027777777778
02,15,05,41.61647222222222
02,15,06,49.78183333333334
02,15,07,56.910916666666665
02,15,08,60.69402777777778
02,15,09,57.278999999999996
02,15,10,58.82980555555555
02,15,11,57.371944444444445
02,15,12,58.20280555555556
02,15,13,59.08286111111111
02,15,14,58.32705555555555
02,15,15,58.01647222222222
02,15,16,57.434083333333334
02,15,17,58.022666666666666
02,15,18,59.95730555555555
02,15,19,59.46458333333333
02,15,20,57.988138888888884
02,15,21,56.41880555555556
02,15,22,55.07780555555556
02,15,23,53.27711111111111
02,16,00,52.762027777777774
02,16,01,46.271861111111114
02,16,02,44.375416666666666
02,16,03,41.312083333333334
02,16,04,44.08913888888889
02,16,05,45.90622222222222
02,16,06,53.463055555555556
02,16,07,64.07044444444445
02,16,08,61.788222222222224
02,16,09,58.622972222222224
02,16,10,58.21425
02,16,11,59.353722222222224
02,16,12,59.71611111111111
02,16,13,58.35194444444444
02,16,14,57.27825
02,16,15,58.29452777777777
02,16,16,57.57888888888889
02,16,17,59.22816666666667
02,16,18,60.319500000000005
02,16,19,59.38677777777777
02,16,20,59.53197222222222
02,16,21,58.39527777777778
02,16,22,56.30072222222223
02,16,23,55.407944444444446
02,17,00,57.26036111111111
02,17,01,52.515361111111105
02,17,02,50.12313888888889
02,17,03,47.59761111111111
02,17,04,46.80972222222222
02,17,05,47.164500000000004
02,17,06,49.42866666666667
02,17,07,58.32997222222222
02,17,08,59.89772222222222
02,17,09,58.100361111111106
02,17,10,58.370269519310924
02,17,11,58.50255555555556
02,17,12,58.496472222222216
02,17,13,59.16911111111111
02,17,14,58.903444444444446
02,17,15,59.02775
02,17,16,59.92716695753345
02,17,17,57.999051339285714
02,17,18,59.218250000000005
02,17,19,59.92005555555556
02,17,20,58.396
02,17,21,57.06661111111111
02,17,22,56.698277777777776
02,17,23,57.274166666666666
02,18,00,59.030388888888886
02,18,01,54.941138888888894
02,18,02,52.846777777777774
02,18,03,53.62213888888889
02,18,04,54.17722222222222
02,18,05,52.612
02,18,06,53.558138888888884
