month,day,hour,439,440,441,910,442,443,444,445,324,lamax
03,30,14,0,0,0,0,0,0,0,0,1,50.60474406991261
03,30,15,0,0,0,0,0,0,0,0,1,49.19205426356589
03,30,16,0,0,0,0,0,0,0,0,1,48.57261111111111
03,30,17,0,0,0,0,0,0,0,0,1,44.98766666666667
03,30,18,0,0,0,0,0,0,0,0,1,45.21375
03,30,19,0,0,0,0,0,0,0,0,1,44.716972222222225
03,30,20,0,0,0,0,0,0,0,0,1,45.65088888888889
03,30,21,0,0,0,0,0,0,0,0,1,46.187805555555556
03,30,22,0,0,0,0,0,0,0,0,1,46.06447222222222
03,30,23,0,0,0,0,0,0,0,0,1,46.276
03,31,00,0,0,0,0,0,0,0,0,1,47.80124258683988
03,31,01,0,0,0,0,0,0,0,0,1,49.578472222222224
03,31,02,0,0,0,0,0,0,0,0,1,48.55283333333334
03,31,03,0,0,0,0,0,0,0,0,1,46.76291666666667
03,31,04,0,0,0,0,0,0,0,0,1,45.545361111111106
03,31,05,0,0,0,0,0,0,0,0,1,43.877472222222224
03,31,06,0,0,0,0,0,0,0,0,1,45.431583333333336
03,31,07,0,0,0,0,0,0,0,0,1,47.74725
03,31,08,0,0,0,0,0,0,0,0,1,49.17594444444444
03,31,09,0,0,0,0,0,0,0,0,1,47.07783333333334
03,31,10,0,0,0,0,0,0,0,0,1,48.45436111111111
03,31,11,0,0,0,0,0,0,0,0,1,48.348972222222216
03,31,12,0,0,0,0,0,0,0,0,1,46.66741666666667
03,31,13,0,0,0,0,0,0,0,0,1,48.182805555555554
03,31,14,0,0,0,0,0,0,0,0,1,48.03680555555555
03,31,15,0,0,0,0,0,0,0,0,1,45.800666666666665
03,31,16,0,0,0,0,0,0,0,0,1,45.138333333333335
03,31,17,0,0,0,0,0,0,0,0,1,44.528111111111116
03,31,18,0,0,0,0,0,0,0,0,1,44.48555555555556
03,31,19,0,0,0,0,0,0,0,0,1,46.21747222222222
03,31,20,0,0,0,0,0,0,0,0,1,52.17275
03,31,21,0,0,0,0,0,0,0,0,1,46.81030555555556
